date,state,city,dead,confirmed,day
2020-04-01,RJ,Teresópolis/RJ,0,1,27
2020-04-01,RJ,Valença/RJ,0,1,27
2020-04-01,RJ,Volta Redonda/RJ,1,12,27
2020-04-02,RJ,Angra dos Reis/RJ,0,1,28
2020-04-02,RJ,Arraial do Cabo/RJ,1,1,28
2020-04-02,RJ,Barra Mansa/RJ,0,2,28
2020-04-02,RJ,Belford Roxo/RJ,1,3,28
2020-04-02,RJ,CASO SEM LOCALIZAÇÃO DEFINIDA/RJ,0,7,28
2020-04-02,RJ,Campos dos Goytacazes/RJ,0,1,28
2020-04-02,RJ,Duque de Caxias/RJ,0,9,28
2020-04-02,RJ,Guapimirim/RJ,0,1,28
2020-04-02,RJ,Itaboraí/RJ,0,6,28
2020-04-02,RJ,Itaguaí/RJ,0,1,28
2020-04-02,RJ,Macaé/RJ,0,1,28
2020-04-02,RJ,Magé/RJ,0,3,28
2020-04-02,RJ,Mangaratiba/RJ,0,1,28
2020-04-02,RJ,Maricá/RJ,0,3,28
2020-04-02,RJ,Mesquita/RJ,0,1,28
2020-04-02,RJ,Miguel Pereira/RJ,1,1,28
2020-04-02,RJ,Niterói/RJ,1,63,28
2020-04-02,RJ,Nova Iguaçu/RJ,0,8,28
2020-04-02,RJ,Petrópolis/RJ,1,13,28
2020-04-02,RJ,Queimados/RJ,0,1,28
2020-04-02,RJ,Resende/RJ,0,2,28
2020-04-02,RJ,Rio Bonito/RJ,1,2,28
2020-04-02,RJ,Rio das Ostras/RJ,1,3,28
2020-04-02,RJ,Rio de Janeiro/RJ,31,798,28
2020-04-02,RJ,Seropédica/RJ,0,1,28
2020-04-02,RJ,São Gonçalo/RJ,1,10,28
2020-04-02,RJ,São João de Meriti/RJ,0,3,28
2020-04-02,RJ,São Pedro da Aldeia/RJ,0,1,28
2020-04-02,RJ,Teresópolis/RJ,0,1,28
2020-04-02,RJ,Valença/RJ,0,1,28
2020-04-02,RJ,Volta Redonda/RJ,2,43,28
2020-04-03,RJ,Angra dos Reis/RJ,0,1,29
2020-04-03,RJ,Araruama/RJ,0,1,29
2020-04-03,RJ,Arraial do Cabo/RJ,1,1,29
2020-04-03,RJ,Barra Mansa/RJ,0,3,29
2020-04-03,RJ,Barra do Piraí/RJ,0,2,29
2020-04-03,RJ,Belford Roxo/RJ,1,3,29
2020-04-03,RJ,CASO SEM LOCALIZAÇÃO DEFINIDA/RJ,0,1,29
2020-04-03,RJ,Campos dos Goytacazes/RJ,0,1,29
2020-04-03,RJ,Duque de Caxias/RJ,0,9,29
2020-04-03,RJ,Guapimirim/RJ,0,1,29
2020-04-03,RJ,Iguaba Grande/RJ,0,1,29
2020-04-03,RJ,Itaboraí/RJ,0,6,29
2020-04-03,RJ,Itaguaí/RJ,0,2,29
2020-04-03,RJ,Macaé/RJ,0,2,29
2020-04-03,RJ,Magé/RJ,0,4,29
2020-04-03,RJ,Mangaratiba/RJ,0,1,29
2020-04-03,RJ,Maricá/RJ,0,5,29
2020-04-03,RJ,Mesquita/RJ,0,0,29
2020-04-03,RJ,Miguel Pereira/RJ,1,1,29
2020-04-03,RJ,Nilópolis/RJ,0,1,29
2020-04-03,RJ,Niterói/RJ,1,65,29
2020-04-03,RJ,Nova Iguaçu/RJ,0,11,29
2020-04-03,RJ,Petrópolis/RJ,1,13,29
2020-04-03,RJ,Porciúncula/RJ,0,1,29
2020-04-03,RJ,Queimados/RJ,0,2,29
2020-04-03,RJ,Resende/RJ,0,2,29
2020-04-03,RJ,Rio Bonito/RJ,1,2,29
2020-04-03,RJ,Rio das Ostras/RJ,1,3,29
2020-04-03,RJ,Rio de Janeiro/RJ,36,867,29
2020-04-03,RJ,Seropédica/RJ,0,1,29
2020-04-03,RJ,São Gonçalo/RJ,1,10,29
2020-04-03,RJ,São João de Meriti/RJ,1,3,29
2020-04-03,RJ,São Pedro da Aldeia/RJ,0,1,29
2020-04-03,RJ,Teresópolis/RJ,0,1,29
2020-04-03,RJ,Três Rios/RJ,0,1,29
2020-04-03,RJ,Valença/RJ,0,1,29
2020-04-03,RJ,Volta Redonda/RJ,2,44,29
2020-04-04,RJ,Angra dos Reis/RJ,0,2,30
2020-04-04,RJ,Araruama/RJ,0,1,30
2020-04-04,RJ,Arraial do Cabo/RJ,1,1,30
2020-04-04,RJ,Barra Mansa/RJ,0,3,30
2020-04-04,RJ,Barra do Piraí/RJ,0,2,30
2020-04-04,RJ,Belford Roxo/RJ,2,7,30
2020-04-04,RJ,CASO SEM LOCALIZAÇÃO DEFINIDA/RJ,0,1,30
2020-04-04,RJ,Campos dos Goytacazes/RJ,0,1,30
2020-04-04,RJ,Duque de Caxias/RJ,3,13,30
2020-04-04,RJ,Guapimirim/RJ,0,2,30
2020-04-04,RJ,Iguaba Grande/RJ,0,1,30
2020-04-04,RJ,Itaboraí/RJ,0,13,30
2020-04-04,RJ,Itaguaí/RJ,0,2,30
2020-04-04,RJ,Macaé/RJ,0,6,30
2020-04-04,RJ,Magé/RJ,0,5,30
2020-04-04,RJ,Mangaratiba/RJ,0,2,30
2020-04-04,RJ,Maricá/RJ,1,7,30
2020-04-04,RJ,Mesquita/RJ,1,1,30
2020-04-04,RJ,Miguel Pereira/RJ,1,1,30
2020-04-04,RJ,Nilópolis/RJ,0,1,30
2020-04-04,RJ,Niterói/RJ,2,79,30
2020-04-04,RJ,Nova Friburgo/RJ,0,1,30
2020-04-04,RJ,Nova Iguaçu/RJ,2,19,30
2020-04-04,RJ,Paraíba do Sul/RJ,0,2,30
